CMDLINE c:\users\simon\filestotals\venv\scripts\python.exe app\routes.py
MEM 2.046875 1605006411.2312
MEM 3.320312 1605006411.3378
MEM 3.320312 1605006411.4485
MEM 3.320312 1605006411.5602
MEM 3.320312 1605006411.6698
MEM 3.320312 1605006411.7797
MEM 3.320312 1605006411.8882
MEM 3.320312 1605006411.9969
MEM 3.320312 1605006412.1046
MEM 3.320312 1605006412.2128
MEM 3.320312 1605006412.3237
MEM 3.320312 1605006412.4325
MEM 3.320312 1605006412.5416
MEM 3.320312 1605006412.6501
MEM 3.320312 1605006412.7597
MEM 3.320312 1605006412.8684
MEM 3.320312 1605006412.9798
MEM 3.320312 1605006413.0887
MEM 3.320312 1605006413.1966
MEM 3.320312 1605006413.3059
MEM 3.320312 1605006413.4165
MEM 3.320312 1605006413.5246
MEM 3.320312 1605006413.6340
MEM 3.320312 1605006413.7454
MEM 3.320312 1605006413.8553
MEM 3.320312 1605006413.9636
MEM 3.320312 1605006414.0737
MEM 3.320312 1605006414.1816
MEM 3.320312 1605006414.2916
MEM 3.320312 1605006414.4003
MEM 3.320312 1605006414.5087
MEM 3.320312 1605006414.6164
MEM 3.320312 1605006414.7248
MEM 3.320312 1605006414.8338
MEM 3.320312 1605006414.9457
MEM 3.320312 1605006415.0537
MEM 3.320312 1605006415.1627
MEM 3.320312 1605006415.2715
MEM 3.320312 1605006415.3788
MEM 3.320312 1605006415.4876
MEM 3.320312 1605006415.5970
MEM 3.320312 1605006415.7061
MEM 3.320312 1605006415.8144
MEM 3.320312 1605006415.9226
MEM 3.320312 1605006416.0319
MEM 3.320312 1605006416.1405
MEM 3.320312 1605006416.2497
MEM 3.320312 1605006416.3597
MEM 3.320312 1605006416.4687
MEM 3.320312 1605006416.5776
MEM 3.320312 1605006416.6867
MEM 3.320312 1605006416.7972
MEM 3.320312 1605006416.9061
MEM 3.320312 1605006417.0156
MEM 3.320312 1605006417.1237
MEM 3.320312 1605006417.2328
MEM 3.320312 1605006417.3407
MEM 3.320312 1605006417.4493
MEM 3.320312 1605006417.5587
MEM 3.320312 1605006417.6675
MEM 3.320312 1605006417.7767
MEM 3.320312 1605006417.8855
MEM 3.320312 1605006417.9957
MEM 3.320312 1605006418.1047
MEM 3.320312 1605006418.2127
MEM 3.320312 1605006418.3216
MEM 3.320312 1605006418.4325
MEM 3.320312 1605006418.5417
MEM 3.320312 1605006418.6509
MEM 3.320312 1605006418.7592
MEM 3.320312 1605006418.8692
MEM 3.320312 1605006418.9787
MEM 3.320312 1605006419.0864
MEM 3.320312 1605006419.1965
MEM 3.320312 1605006419.3048
MEM 3.320312 1605006419.4137
MEM 3.320312 1605006419.5227
MEM 3.320312 1605006419.6326
MEM 3.320312 1605006419.7411
MEM 3.320312 1605006419.8516
MEM 3.320312 1605006419.9596
MEM 3.320312 1605006420.0684
MEM 3.320312 1605006420.1784
MEM 3.320312 1605006420.2867
MEM 3.320312 1605006420.3953
MEM 3.320312 1605006420.5045
MEM 3.320312 1605006420.6126
MEM 3.320312 1605006420.7215
MEM 3.320312 1605006420.8326
MEM 3.320312 1605006420.9405
MEM 3.320312 1605006421.0496
MEM 3.320312 1605006421.1571
MEM 3.320312 1605006421.2666
MEM 3.320312 1605006421.3737
MEM 3.320312 1605006421.4837
MEM 3.320312 1605006421.5908
MEM 3.320312 1605006421.6999
MEM 3.320312 1605006421.8089
MEM 3.320312 1605006421.9177
MEM 3.320312 1605006422.0273
MEM 3.320312 1605006422.1367
MEM 3.320312 1605006422.2458
MEM 3.320312 1605006422.3530
MEM 3.320312 1605006422.4626
MEM 3.320312 1605006422.5719
MEM 3.320312 1605006422.6816
MEM 3.320312 1605006422.7907
MEM 3.320312 1605006422.9003
MEM 3.320312 1605006423.0093
MEM 3.320312 1605006423.1166
MEM 3.320312 1605006423.2257
MEM 3.320312 1605006423.3360
MEM 3.320312 1605006423.4439
MEM 3.320312 1605006423.5537
MEM 3.320312 1605006423.6636
MEM 3.320312 1605006423.7717
MEM 3.320312 1605006423.8801
MEM 3.320312 1605006423.9893
MEM 3.320312 1605006424.0997
MEM 3.320312 1605006424.2075
MEM 3.320312 1605006424.3187
MEM 3.320312 1605006424.4267
MEM 3.320312 1605006424.5347
MEM 3.320312 1605006424.6437
MEM 3.320312 1605006424.7526
MEM 3.320312 1605006424.8627
MEM 3.320312 1605006424.9703
MEM 3.320312 1605006425.0777
MEM 3.320312 1605006425.1877
MEM 3.320312 1605006425.2950
MEM 3.320312 1605006425.4037
MEM 3.320312 1605006425.5114
MEM 3.320312 1605006425.6207
MEM 3.320312 1605006425.7287
MEM 3.320312 1605006425.8373
MEM 3.320312 1605006425.9459
MEM 3.320312 1605006426.0556
MEM 3.320312 1605006426.1626
MEM 3.320312 1605006426.2726
MEM 3.320312 1605006426.3825
MEM 3.320312 1605006426.4903
MEM 3.320312 1605006426.5994
MEM 3.320312 1605006426.7099
MEM 3.320312 1605006426.8211
MEM 3.320312 1605006426.9308
MEM 3.320312 1605006427.0406
MEM 3.320312 1605006427.1504
MEM 3.320312 1605006427.2591
MEM 3.320312 1605006427.3706
MEM 3.320312 1605006427.4794
MEM 3.320312 1605006427.5897
MEM 3.320312 1605006427.6997
MEM 3.320312 1605006427.8071
MEM 3.320312 1605006427.9154
MEM 3.320312 1605006428.0236
MEM 3.320312 1605006428.1316
MEM 3.320312 1605006428.2407
MEM 3.320312 1605006428.3487
MEM 3.320312 1605006428.4584
MEM 3.320312 1605006428.5672
MEM 3.320312 1605006428.6763
MEM 3.320312 1605006428.7850
MEM 3.320312 1605006428.8930
MEM 3.320312 1605006429.0026
MEM 3.320312 1605006429.1112
MEM 3.320312 1605006429.2190
MEM 3.320312 1605006429.3279
MEM 3.320312 1605006429.4362
MEM 3.320312 1605006429.5444
MEM 3.320312 1605006429.6540
MEM 3.320312 1605006429.7635
MEM 3.320312 1605006429.8756
MEM 3.320312 1605006429.9856
MEM 3.320312 1605006430.0949
MEM 3.320312 1605006430.2050
MEM 3.320312 1605006430.3130
MEM 3.320312 1605006430.4254
MEM 3.320312 1605006430.5349
MEM 3.320312 1605006430.6431
MEM 3.320312 1605006430.7511
MEM 3.320312 1605006430.8611
MEM 3.320312 1605006430.9706
MEM 3.320312 1605006431.0795
MEM 3.320312 1605006431.1897
MEM 3.320312 1605006431.2970
MEM 3.320312 1605006431.4067
MEM 3.320312 1605006431.5161
MEM 3.320312 1605006431.6238
MEM 3.320312 1605006431.7326
MEM 3.320312 1605006431.8426
MEM 3.320312 1605006431.9516
MEM 3.320312 1605006432.0607
MEM 3.320312 1605006432.1697
MEM 3.320312 1605006432.2767
MEM 3.320312 1605006432.3855
MEM 3.320312 1605006432.4926
MEM 3.320312 1605006432.6026
MEM 3.320312 1605006432.7110
MEM 3.320312 1605006432.8197
MEM 3.320312 1605006432.9288
MEM 3.320312 1605006433.0396
MEM 3.320312 1605006433.1481
MEM 3.320312 1605006433.2587
MEM 3.320312 1605006433.3661
MEM 3.320312 1605006433.4760
MEM 3.320312 1605006433.5835
MEM 3.320312 1605006433.6936
MEM 3.320312 1605006433.8028
MEM 3.320312 1605006433.9124
MEM 3.320312 1605006434.0207
MEM 3.320312 1605006434.1299
MEM 3.320312 1605006434.2407
MEM 3.320312 1605006434.3484
MEM 3.320312 1605006434.4587
MEM 3.320312 1605006434.5667
MEM 3.320312 1605006434.6751
MEM 3.320312 1605006434.7848
MEM 3.320312 1605006434.8953
MEM 3.320312 1605006435.0036
MEM 3.320312 1605006435.1128
MEM 3.320312 1605006435.2207
MEM 3.320312 1605006435.3296
MEM 3.320312 1605006435.4387
MEM 3.320312 1605006435.5485
MEM 3.320312 1605006435.6597
MEM 3.320312 1605006435.7686
MEM 3.320312 1605006435.8786
MEM 3.320312 1605006435.9870
MEM 3.320312 1605006436.0968
MEM 3.320312 1605006436.2053
MEM 3.320312 1605006436.3136
MEM 3.320312 1605006436.4226
MEM 3.320312 1605006436.5316
MEM 3.320312 1605006436.6414
MEM 3.320312 1605006436.7513
MEM 3.320312 1605006436.8598
MEM 3.320312 1605006436.9684
MEM 3.320312 1605006437.0804
MEM 3.320312 1605006437.1904
MEM 3.320312 1605006437.2996
MEM 3.320312 1605006437.4076
MEM 3.320312 1605006437.5173
MEM 3.320312 1605006437.6260
MEM 3.320312 1605006437.7348
MEM 3.320312 1605006437.8438
MEM 3.320312 1605006437.9527
MEM 3.320312 1605006438.0626
MEM 3.320312 1605006438.1712
MEM 3.320312 1605006438.2795
MEM 3.320312 1605006438.3880
MEM 3.320312 1605006438.4995
MEM 3.320312 1605006438.6088
MEM 3.320312 1605006438.7165
MEM 3.320312 1605006438.8260
MEM 3.320312 1605006438.9345
MEM 3.320312 1605006439.0437
MEM 3.320312 1605006439.1526
MEM 3.320312 1605006439.2630
MEM 3.320312 1605006439.3715
MEM 3.320312 1605006439.4807
MEM 3.320312 1605006439.5886
MEM 3.320312 1605006439.6997
MEM 3.320312 1605006439.8095
MEM 3.320312 1605006439.9183
MEM 3.320312 1605006440.0259
MEM 3.320312 1605006440.1352
MEM 3.320312 1605006440.2454
MEM 3.320312 1605006440.3540
MEM 3.320312 1605006440.4626
MEM 3.320312 1605006440.5704
MEM 3.320312 1605006440.6806
MEM 3.320312 1605006440.7888
MEM 3.320312 1605006440.8992
MEM 3.320312 1605006441.0058
MEM 3.320312 1605006441.1125
MEM 3.320312 1605006441.2205
MEM 3.277344 1605006441.3290
MEM 3.277344 1605006441.4381
MEM 3.277344 1605006441.5480
MEM 3.277344 1605006441.6565
MEM 3.277344 1605006441.7676
MEM 3.277344 1605006441.8760
MEM 3.277344 1605006441.9853
MEM 3.277344 1605006442.0950
MEM 3.277344 1605006442.2035
MEM 3.277344 1605006442.3116
MEM 3.277344 1605006442.4207
MEM 3.277344 1605006442.5291
MEM 3.277344 1605006442.6390
MEM 3.277344 1605006442.7497
MEM 3.277344 1605006442.8580
MEM 3.277344 1605006442.9667
MEM 3.277344 1605006443.0756
MEM 3.277344 1605006443.1845
MEM 3.277344 1605006443.2915
MEM 3.277344 1605006443.4024
MEM 3.277344 1605006443.5108
MEM 3.277344 1605006443.6201
MEM 3.277344 1605006443.7287
MEM 3.277344 1605006443.8357
MEM 3.277344 1605006443.9447
MEM 3.277344 1605006444.0536
MEM 3.277344 1605006444.1617
MEM 3.277344 1605006444.2706
MEM 3.277344 1605006444.3795
MEM 3.277344 1605006444.4886
MEM 3.277344 1605006444.5996
MEM 3.277344 1605006444.7069
MEM 3.277344 1605006444.8186
MEM 3.277344 1605006444.9261
MEM 3.277344 1605006445.0350
MEM 3.277344 1605006445.1426
MEM 3.277344 1605006445.2508
MEM 3.277344 1605006445.3591
MEM 3.277344 1605006445.4697
MEM 3.277344 1605006445.5788
MEM 3.277344 1605006445.6878
MEM 3.277344 1605006445.7965
MEM 3.277344 1605006445.9043
MEM 3.277344 1605006446.0126
MEM 3.277344 1605006446.1209
MEM 3.277344 1605006446.2307
MEM 3.277344 1605006446.3384
MEM 3.277344 1605006446.4486
MEM 3.277344 1605006446.5568
MEM 3.277344 1605006446.6658
MEM 3.277344 1605006446.7748
MEM 3.277344 1605006446.8845
MEM 3.277344 1605006446.9926
MEM 3.277344 1605006447.1035
MEM 3.277344 1605006447.2114
MEM 3.277344 1605006447.3219
